"","institution","species","Lat","Lon","date"
"5029","Norsk zoologisk forening","Pleuronectes_platessa",59.634804,10.606058,"21.04.2018 00:00:00"
"5030","Norsk zoologisk forening","Myoxocephalus_scorpius",59.634804,10.606058,"21.04.2018 00:00:00"
"5031","Norsk zoologisk forening","Scophthalmus_rhombus",59.634804,10.606058,"21.04.2018 00:00:00"
"5032","Norsk zoologisk forening","Amblyraja_radiata",59.634804,10.606058,"21.04.2018 00:00:00"
"5033","Norsk zoologisk forening","Ciliata_mustela",59.035977,10.950364,"22.04.2018 00:00:00"
"5034","Norsk zoologisk forening","Myoxocephalus_scorpius",59.035977,10.950364,"22.04.2018 00:00:00"
"5035","Norsk zoologisk forening","Gadus_morhua",59.035977,10.950364,"22.04.2018 00:00:00"
"5036","Norsk zoologisk forening","Gobius_niger",59.634804,10.606058,"28.04.2018 00:00:00"
"5037","Norsk zoologisk forening","Cyclopterus_lumpus",59.634804,10.606058,"28.04.2018 00:00:00"
"5038","Norsk zoologisk forening","Taurulus_bubalis",59.416234,10.609041,"29.04.2018 00:00:00"
"5039","Norsk zoologisk forening","Ciliata_mustela",59.416234,10.609041,"29.04.2018 00:00:00"
"5040","Norsk zoologisk forening","Gobius_niger",59.416234,10.609041,"29.04.2018 00:00:00"
"5041","Norsk zoologisk forening","Gadus_morhua",59.176475,10.961028,"13.06.2018 00:00:00"
"5042","Miljødirektoratet","Gadus_morhua",59.83269,10.580432,"19.06.2017 00:00:00"
"5043","Norsk zoologisk forening","Scomber_scombrus",59.800316,10.712446,"06.10.2018 00:00:00"
"5044","Norsk zoologisk forening","Scomber_scombrus",59.807857,10.611376,"07.10.2018 00:00:00"
"5045","Norsk zoologisk forening","Scomber_scombrus",59.800316,10.712446,"11.10.2018 00:00:00"
"5046","Norsk zoologisk forening","Scomber_scombrus",59.892545,10.63581,"18.10.2018 00:00:00"
"5047","Norsk zoologisk forening","Ctenolabrus_rupestris",59.763708,10.583079,"20.10.2018 00:00:00"
"5048","Norsk zoologisk forening","Labrus_bergylta",59.763708,10.583079,"20.10.2018 00:00:00"
"5049","Norsk zoologisk forening","Gadus_morhua",59.763708,10.583079,"20.10.2018 00:00:00"
"5050","Norsk zoologisk forening","Symphodus_melops",59.763708,10.583079,"20.10.2018 00:00:00"
"5051","Norsk zoologisk forening","Pollachius_pollachius",59.763708,10.583079,"20.10.2018 00:00:00"
"5052","Norsk zoologisk forening","Scomber_scombrus",59.766617,10.586286,"20.10.2018 00:00:00"
"5053","Norsk zoologisk forening","Salmo_trutta",59.179646,10.905009,"25.10.2018 00:00:00"
"5054","Norsk zoologisk forening","Pholis_gunnellus",59.014354,11.020927,"06.11.2018 00:00:00"
"5064","Norsk zoologisk forening","Gadus_morhua",59.85658,10.682999,"18.11.2018 00:00:00"
"5065","Norsk zoologisk forening","Scomber_scombrus",59.85658,10.682999,"18.11.2018 00:00:00"
"5066","Norsk zoologisk forening","Clupea_harengus",59.85658,10.682999,"18.11.2018 00:00:00"
"5067","Norsk zoologisk forening","Limanda_limanda",59.85658,10.682999,"18.11.2018 00:00:00"
"5068","Norsk zoologisk forening","Platichthys_flesus",59.85658,10.682999,"18.11.2018 00:00:00"
"5069","Norsk zoologisk forening","Gadus_morhua",59.863729,10.65295,"18.11.2018 00:00:00"
"5070","Norsk zoologisk forening","Hippoglossoides_platessoides",59.863729,10.65295,"18.11.2018 00:00:00"
"5071","Norsk zoologisk forening","Limanda_limanda",59.863729,10.65295,"18.11.2018 00:00:00"
"5072","Norsk zoologisk forening","Perca_fluviatilis",59.180488,10.949062,"06.08.2018 00:00:00"
"5073","Norsk zoologisk forening","Leuciscus_idus",59.180488,10.949062,"06.08.2018 00:00:00"
"5074","Norsk zoologisk forening","Pomatoschistus_minutus",59.416234,10.609041,"20.08.2018 00:00:00"
"5075","Norsk zoologisk forening","Solea_solea",59.416234,10.609041,"20.08.2018 00:00:00"
