"","Lon","Lat","species","value"
"604",10.3758333333333,59.1593333333333,"Gasterosteus_aculeatus",12
"605",10.3923333333333,59.1743333333333,"Gasterosteus_aculeatus",1
"608",10.3758333333333,59.1593333333333,"Gasterosteus_aculeatus",17
"609",10.3923333333333,59.1743333333333,"Gasterosteus_aculeatus",2
"619",10.3758333333333,59.1593333333333,"Gasterosteus_aculeatus",8
"620",10.3923333333333,59.1743333333333,"Gasterosteus_aculeatus",6
"623",10.5366666666667,59.2161666666667,"Gasterosteus_aculeatus",690
"627",10.5538333333333,59.8555,"Gasterosteus_aculeatus",1
"628",10.3923333333333,59.1743333333333,"Gasterosteus_aculeatus",112
"629",10.3758333333333,59.1593333333333,"Gasterosteus_aculeatus",80
"631",10.3758333333333,59.1593333333333,"Gasterosteus_aculeatus",14
"633",10.3923333333333,59.1743333333333,"Gasterosteus_aculeatus",9
"651",10.6873333333333,59.8521666666667,"Zoarces_viviparus",1
"673",10.3923333333333,59.1743333333333,"Zoarces_viviparus",1
"716",10.68732,59.85213,"Pholis_gunnellus",1
"721",10.6873333333333,59.8521666666667,"Spinachia_spinachia",2
"724",10.3758333333333,59.1593333333333,"Spinachia_spinachia",4
"725",10.3923333333333,59.1743333333333,"Spinachia_spinachia",3
"734",10.6873333333333,59.8521666666667,"Spinachia_spinachia",1
"740",10.3923333333333,59.1743333333333,"Spinachia_spinachia",1
"751",10.3758333333333,59.1593333333333,"Spinachia_spinachia",1
"758",10.519,59.22066,"Spinachia_spinachia",5
"759",10.53356,59.22054,"Spinachia_spinachia",2
"762",10.732,59.8875,"Myoxocephalus_scorpius",1
"768",10.3758333333333,59.1593333333333,"Myoxocephalus_scorpius",1
"777",10.732,59.8875,"Myoxocephalus_scorpius",1
"779",10.3758333333333,59.1593333333333,"Myoxocephalus_scorpius",6
"789",10.3758333333333,59.1593333333333,"Myoxocephalus_scorpius",1
"798",10.519,59.22066,"Myoxocephalus_scorpius",1
"805",10.3923333333333,59.1743333333333,"Taurulus_bubalis",1
"824",10.6873333333333,59.8521666666667,"Taurulus_bubalis",2
"836",10.68732,59.85213,"Taurulus_bubalis",1
"839",10.53356,59.22054,"Taurulus_bubalis",2
"854",10.6873333333333,59.8521666666667,"Syngnathus_acus",2
"856",10.5658333333333,59.8613333333333,"Syngnathus_acus",1
"871",10.3758333333333,59.1593333333333,"Syngnathus_acus",2
"877",10.73198,59.88758,"Syngnathus_acus",1
"880",10.53668,59.21618,"Syngnathus_acus",1
"882",10.732,59.8875,"Pomatoschistus_minutus",9
"883",10.5658333333333,59.8613333333333,"Pomatoschistus_minutus",46
"887",10.3765,59.1648333333333,"Pomatoschistus_minutus",1
"889",10.3923333333333,59.1743333333333,"Pomatoschistus_minutus",3
"890",10.732,59.8875,"Pomatoschistus_minutus",16
"892",10.5538333333333,59.8555,"Pomatoschistus_minutus",5
"893",10.5658333333333,59.8613333333333,"Pomatoschistus_minutus",12
"895",10.5538333333333,59.8555,"Pomatoschistus_minutus",2
"896",10.5658333333333,59.8613333333333,"Pomatoschistus_minutus",47
"898",10.3765,59.1648333333333,"Pomatoschistus_minutus",1
"900",10.3923333333333,59.1743333333333,"Pomatoschistus_minutus",1
"902",10.5335,59.2205,"Pomatoschistus_minutus",14
"905",10.732,59.8875,"Pomatoschistus_minutus",3
