,Abramis_brama,Ammodytes_marinus,Anguilla_rostrata,Aphia_minuta,Belone_belone,Buglossidium_luteum,Callionymus_lyra,Callionymus_maculatus,Chelidonichthys_cuculus,Ciliata_mustela,Ciliata_septentrionalis,Clupea_harengus,Clupea_pallasii,Crystallogobius_linearis,Ctenolabrus_rupestris,Cyclopterus_lumpus,Enchelyopus_cimbrius,Engraulis_encrasicolus,Entelurus_aequoreus,Gadiculus_argenteus,Gadus_macrocephalus,Gadus_morhua,Gasterosteus_aculeatus,Glyptocephalus_cynoglossus,Gobius_niger,Gobiusculus_flavescens,Gymnocephalus_cernua,Hippoglossoides_platessoides,Labrus_bergylta,Labrus_mixtus,Lesueurigobius_friesii,Limanda_limanda,Liparis_montagui,Melanogrammus_aeglefinus,Merlangius_merlangus,Myoxocephalus_scorpius,Oncorhynchus_gorbuscha,Osmerus_eperlanus,Perca_fluviatilis,Pholis_gunnellus,Phoxinus_phoxinus,Phrynorhombus_norvegicus,Platichthys_flesus,Pleuronectes_platessa,Pollachius_pollachius,Pollachius_virens,Pomatoschistus_microps,Pomatoschistus_minutus,Pomatoschistus_pictus,Raniceps_raninus,Salmo_salar,Salmo_trutta,Sardina_pilchardus,Scomber_scombrus,Scophthalmus_maximus,Scophthalmus_rhombus,Scyliorhinus_canicula,Solea_solea,Spinachia_spinachia,Sprattus_sprattus,Symphodus_melops,Syngnathus_acus,Syngnathus_rostellatus,Syngnathus_typhle,Taurulus_bubalis,Thunnus_alalunga,Trachinus_draco,Trisopterus_luscus,Trisopterus_minutus,Zeugopterus_punctatus,Zoarces_viviparus
X167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,2,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,24,0,0,0,107,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
X170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
X171,0,0,0,24,0,0,0,0,0,62,0,0,48,0,1132,0,20,0,0,0,61,0,44,32,18,239,0,73,22,0,16,0,0,0,0,80,0,0,0,16,0,0,170,122,0,30,434,64,493,0,0,0,0,553,87,0,0,0,0,0,495,0,0,0,125,0,0,0,0,0,287
X173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
X178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,275,0,0,0,120,0,0,0,0,0,0
X18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,68,0,140,0,43,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X186,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X19,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,23,0,0,0,0,0,17,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X192,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,643,0,0,0,0,0,0,0,0,10,3488,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2427,0,0,0,0,0,0,0,0,0,0
X193,0,0,0,58,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,88,0,78,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X201,0,0,0,269,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,6,963,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,158,0,56,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0
X203,0,0,0,80,79,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,9,2291,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,324,285,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
X205,0,0,30,93,0,0,0,0,0,0,0,0,0,0,363,0,0,42,0,0,213,0,27,0,140,1308,0,31,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,63,371,0,0,19,0,59,0,0,0,0,0,0,99,21,0,0,0,0,0,0,0,0,0
X21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,50,123,0,0,0,0,352,0,57,4904,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,866,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0
X23,0,0,0,208,0,0,0,0,0,0,0,0,0,0,205,0,68,0,0,0,0,0,0,0,180,1056,0,0,0,0,0,119,0,0,0,0,0,0,0,199,0,0,373,49,0,0,2380,1254,1846,0,0,2,0,44,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0
X24,0,0,0,0,183,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,181,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X25,0,0,126,185,24,0,0,0,0,0,0,0,0,0,835,0,0,55,0,0,0,0,0,0,182,1186,0,0,0,0,0,164,0,0,0,56,0,0,0,0,0,0,0,0,0,148,1037,144,4065,0,0,0,0,221,592,0,0,0,0,0,2788,0,0,0,0,0,0,0,0,0,0
X41,0,0,0,0,153,0,0,0,0,0,0,0,0,0,114,0,0,31,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
X42,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X45,0,0,0,80,14,0,0,0,0,0,0,0,29,0,26,0,0,0,0,0,0,0,0,0,18,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,169,0,0,0,0,0,0,0,0,0,0,0,91,0,0,22,0,0,0,0,0,0,0
X46,0,0,0,170,0,0,0,0,0,0,0,0,0,0,38,0,0,145,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0
X47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
X48,0,0,0,240,0,0,0,0,0,0,0,0,9,0,4890,0,0,583,0,34,11,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,28,0,38,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0
X49,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,919,0,70,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,212,0,0,132,0,434,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X50,0,0,0,219,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6,0,0,0,0,0,0,0,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,47,0,8,165,0,0,0,0,0,0,0,152,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
