"","Lon","Lat","species","value"
"919",10.548964,59.847356,"Engraulis_encrasicolus",570
"920",10.56704,59.880428,"Engraulis_encrasicolus",77
"926",10.68446,59.489083,"Engraulis_encrasicolus",753
"927",10.685589,59.482238,"Engraulis_encrasicolus",3873
"928",10.674155,59.463364,"Engraulis_encrasicolus",124
"929",10.660741,59.445949,"Engraulis_encrasicolus",938
"936",10.624563,59.478932,"Engraulis_encrasicolus",31
"940",10.504374,59.283593,"Engraulis_encrasicolus",25
"945",10.47285,59.348569,"Engraulis_encrasicolus",27
"968",10.3821,59.4724,"Gadiculus_argenteus",42
"998",10.548964,59.847356,"Gadiculus_argenteus",34
"1036",10.4341126,59.0639565,"Gadus_morhua",20
"1038",10.512778,59.733889,"Gadus_morhua",164
"1039",10.66503333,59.86828333,"Gadus_morhua",83
"1041",10.66986667,59.86443333,"Gadus_morhua",145
"1042",10.535367,59.80355,"Gadus_morhua",6499
"1047",10.3821,59.4724,"Gadus_morhua",95
"1048",10.393139,59.16525,"Gadus_morhua",53
"1050",10.389444,59.171222,"Gadus_morhua",129
"1053",10.738159,59.893152,"Gadus_morhua",487
"1060",10.5143874,59.8324791,"Gadus_morhua",62
"1062",10.53,58.88,"Gadus_morhua",68
"1066",10.754722,59.094444,"Gadus_morhua",60
"1068",10.754722,59.868889,"Gadus_morhua",223
"1084",10.68446,59.489083,"Gadus_morhua",104
"1086",10.674155,59.463364,"Gadus_morhua",176
"1087",10.660741,59.445949,"Gadus_morhua",381
"1097",10.604175,59.441273,"Gadus_morhua",136
"1098",10.504374,59.283593,"Gadus_morhua",38
"1103",10.47285,59.348569,"Gadus_morhua",34
"1119",10.741256,59.2329992,"Gasterosteus_aculeatus",336
"1123",10.238333,59.072778,"Gasterosteus_aculeatus",182
"1129",10.389444,59.171222,"Gasterosteus_aculeatus",26
"1134",10.519167,59.695556,"Gasterosteus_aculeatus",163
"1135",10.53,59.88,"Gasterosteus_aculeatus",466
"1139",10.5143874,59.8324791,"Gasterosteus_aculeatus",46
"1140",10.5511548,59.8919297,"Gasterosteus_aculeatus",55
"1141",10.53,58.88,"Gasterosteus_aculeatus",145
"1144",10.7166776,59.8842081,"Gasterosteus_aculeatus",90
"1147",10.754722,59.868889,"Gasterosteus_aculeatus",27
"1148",10.778583,59.872806,"Gasterosteus_aculeatus",361
"1157",10.56704,59.880428,"Gasterosteus_aculeatus",775
"1159",10.521936,59.701987,"Gasterosteus_aculeatus",47
