"","Ammodytes_marinus","Anguilla_anguilla","Aphia_minuta","Belone_belone","Buglossidium_luteum","Ciliata_mustela","Clupea_harengus","Crystallogobius_linearis","Ctenolabrus_rupestris","Cyclopterus_lumpus","Enchelyopus_cimbrius","Engraulis_encrasicolus","Gadiculus_argenteus","Gadus_morhua","Gasterosteus_aculeatus","Glyptocephalus_cynoglossus","Gobius_niger","Gobiusculus_flavescens","Gymnocephalus_cernua","Hippoglossoides_platessoides","Labrus_bergylta","Lesueurigobius_friesii","Limanda_limanda","Liparis_montagui","Melanogrammus_aeglefinus","Merlangius_merlangus","Myoxocephalus_scorpius","Oncorhynchus_gorbuscha","Osmerus_eperlanus","Perca_fluviatilis","Pholis_gunnellus","Phrynorhombus_norvegicus","Platichthys_flesus","Pleuronectes_platessa","Pollachius_pollachius","Pollachius_virens","Pomatoschistus_microps","Pomatoschistus_minutus","Pomatoschistus_pictus","Raniceps_raninus","Salmo_salar","Salmo_trutta","Sardina_pilchardus","Scomber_scombrus","Scophthalmus_maximus","Scophthalmus_rhombus","Solea_solea","Spinachia_spinachia","Sprattus_sprattus","Symphodus_melops","Syngnathus_acus","Syngnathus_rostellatus","Syngnathus_typhle","Taurulus_bubalis","Thunnus_alalunga","Trachinus_draco","Trisopterus_minutus","Zeugopterus_punctatus"
"21",0,0,0,0,0,0,0,0,430,0,51,125,0,0,361,0,66,4993,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,957,0,0,0,0,0,634,0,0,0,0,0,0,0,0
"23",0,0,216,0,0,0,0,0,210,0,71,0,0,0,0,0,211,1103,0,0,0,0,128,0,0,0,0,0,0,0,210,0,386,51,0,0,2570,1340,2007,0,0,0,0,59,0,0,0,0,0,544,0,0,0,0,0,0,0,0
"24",0,0,0,185,0,0,58,0,0,0,0,0,0,0,0,0,0,61,0,0,0,182,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,131,189,24,0,0,0,0,854,0,0,58,0,0,0,0,201,1213,0,0,0,0,168,0,0,0,60,0,0,0,0,0,0,0,0,152,1069,147,4192,0,0,0,0,244,602,0,0,0,0,2860,0,0,0,0,0,0,0,0
"41",0,0,0,154,0,0,0,0,115,0,0,32,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,80,0,0,0,0,0,26,0,0,0,0,0,0,0,20,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,176,0,0,0,0,0,0,0,0,0,30,90,0,0,24,0,0,0,0,0
"46",0,0,173,0,0,0,0,0,38,0,0,135,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,241,0,0,0,0,0,4968,0,0,570,34,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,36,0,48,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"49",0,0,60,0,0,0,0,0,0,0,0,77,0,0,775,0,83,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,223,0,0,153,0,501,91,0,0,0,0,0,0,0,0,0,0,0,0,0
